"category","id","name","price","stock","ean","sku","brand","url","image"
"Szenzoros labda","15322390921602","Szenzoros baba labda szett","4990.00","27","","AKUKU-693","AKUKU","https://toysland-9695.myshopify.com/products/a0452-sensory-balls-szett","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-13878_d0d6d90d-b1c5-4f58-bb1f-20b413668f50.jpg?v=1776797750"
"Szenzoros labda","15322391937410","Szenzoros baba labda szett, 6 db","4990.00","12","","ON-3582","BABYONO","https://toysland-9695.myshopify.com/products/1530-sensory-balls-szett-of-6pcs","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/foto_add-42296_c0fd76a6-dc1d-426d-a031-d738322631d7.jpg?v=1776797775"
"Készségfejlesztő játék","15322393084290","Szenzoros kocka fejlesztő babajáték","6990.00","0","","ON-862","BABYONO","https://toysland-9695.myshopify.com/products/szenzoros-matatokocka-babaknak","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16175_7a543026-ff80-454f-9a8b-dc207dc550ba.jpg?v=1776797811"
"Készségfejlesztő játék","15322394165634","Szenzoros kocka fejlesztő babajáték","7990.00","386","","TOYZ-9028","TOYZ","https://toysland-9695.myshopify.com/products/interaktiv-keszsegfejleszto-baba-jatek-sensory-cube-0556","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16917_b32c6d4f-f85b-48a0-b242-62c9e39d607d.jpg?v=1776797849"
"Fürdőjáték","15322394657154","Szilikon fürdőjáték szett babáknak","2990.00","32","","AKUKU-6903","AKUKU","https://toysland-9695.myshopify.com/products/furdojatek-szett-kadba-a0711-silicone-bath-toys","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-17509.jpg?v=1776797864"
"Spirálos babakocsi játék","15322390561154","Színes baglyos spirálos fejlesztő babajáték","4990.00","748","","SILLOZ-041","SENSILLO","https://toysland-9695.myshopify.com/products/keszsegfejleszto-spiral-babakocsira-bagoly","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-11969_21240548-b463-4d39-b2de-f28a638bc76a.jpg?v=1776797739"
"Bowling játék","15322392723842","Színes bowling játék gyerekeknek","9990.00","2","","CHICZ-148","CHICCO TOYS","https://toysland-9695.myshopify.com/products/826798-szines-bowling","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-15774_c584c706-185d-4052-bbb4-f348a14234f1.jpg?v=1776797798"
"Spirálos babakocsi játék","15322393477506","Színes dínós spirálos fejlesztő babajáték","4990.00","360","","SILLOZ-0533","SENSILLO","https://toysland-9695.myshopify.com/products/keszsegfejleszto-spiral-babakocsira-dino","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16551_283d7f5b-b90c-44fc-80fc-221b27da831c.jpg?v=1776797824"
"Készségfejlesztő játék","15322394067330","Színes fejlesztő babajáték","5990.00","5","","CHICZ-1611","CHICCO TOYS","https://toysland-9695.myshopify.com/products/177769-educational-coloured-tips","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16880_ad2b1db9-a0a2-4480-9e00-fa68108dfb32.jpg?v=1776797846"
"Spirálos babakocsi játék","15322393346434","Színes oroszlános spirálos fejlesztő babajáték","4990.00","338","","SILLOZ-0531","SENSILLO","https://toysland-9695.myshopify.com/products/keszsegfejleszto-spiral-babakocsira-oroszlan","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16549_950818d9-d293-49b1-bc03-8c2d99da10de.jpg?v=1776797820"
